nodos,ejes ,BellmanFord,dijkstra_basico,dijkstra_prioridad 
432, 93096,64248.2 ,32407.8 ,30056.7
433, 93528,63903.1 ,33001.5 ,30706.6
434, 93961,60359.1 ,32759.1 ,30350.7
435, 94395,63057.9 ,33670.9 ,31285.4
436, 94830,65897.2 ,33547 ,31106.6
437, 95266,73548 ,34434.3 ,31957.3
438, 95703,71701.6 ,34026.7 ,31641.2
439, 96141,75088 ,34888 ,32417.2
440, 96580,60281 ,34909.8 ,32366.5
441, 97020,70216.4 ,34649.3 ,32224.9
442, 97461,69926.9 ,35505.5 ,32892.5
443, 97903,70150.1 ,35453.5 ,32994.9
444, 98346,73057.8 ,35902.6 ,33322.3
445, 98790,74190.5 ,35884.7 ,33309
446, 99235,69720.5 ,36340.3 ,33672.1
447, 99681,78885.3 ,36927.7 ,34274.2
448, 100128,65225.6 ,36879.8 ,34150.5
449, 100576,66164.1 ,37377.1 ,34675.5
450, 101025,69954.8 ,37116.5 ,34420.1
451, 101475,77258.5 ,37830.7 ,35116.7
452, 101926,73816 ,37668.7 ,34913.4
453, 102378,69021.5 ,38598.8 ,35806.4
454, 102831,65507.3 ,38186.4 ,35353.6
455, 103285,69566.7 ,38984.3 ,36134.6
456, 103740,68862.3 ,38520.8 ,35683.3
457, 104196,80198.9 ,39896.5 ,37100.7
458, 104653,71802.9 ,39325.1 ,36454.3
459, 105111,70458.8 ,40046.9 ,37089.8
460, 105570,68904.4 ,39919.8 ,36952
461, 106030,84612.9 ,41378.5 ,38352.3
462, 106491,70421.8 ,40345 ,37351.2
463, 106953,76924.1 ,41783.2 ,38700.7
464, 107416,77292.6 ,41233 ,38154.6
465, 107880,73268 ,41851.4 ,38850
466, 108345,79350.8 ,41859.2 ,38788
467, 108811,79060.2 ,43207.3 ,40021.9
468, 109278,73944.9 ,42607.8 ,39418.5
469, 109746,76156.8 ,43261.7 ,40056
470, 110215,83384.8 ,42970.6 ,39792.9
471, 110685,75045.9 ,43984.3 ,40768.9
472, 111156,87572.1 ,43829.7 ,40558.8
473, 111628,93603.8 ,44526.8 ,41285.2
474, 112101,80578.4 ,44324 ,40978.1
475, 112575,82076.9 ,44940.7 ,41656.8
476, 113050,81333.5 ,44759.8 ,41394.3
477, 113526,84116 ,46198.1 ,43262
478, 114003,85515.4 ,45554 ,42050.5
479, 114481,85500.4 ,46556.1 ,43175.5
480, 114960,92631.8 ,46507.8 ,43046.1
481, 115440,92927.5 ,47410 ,43969.7
482, 115921,86829.5 ,47144.6 ,43655.3
483, 116403,95849.5 ,47913.2 ,44384.9
484, 116886,85185.3 ,47475.5 ,43941.2
485, 117370,92396.6 ,48557.9 ,44994.8
486, 117855,84434.9 ,48415.1 ,44751.9
487, 118341,81043.2 ,49381.2 ,45652.7
488, 118828,99309.2 ,48886 ,45199.9
489, 119316,88997.6 ,49981.1 ,46274.5
490, 119805,87483.5 ,49314.6 ,45609.8
491, 120295,119959 ,54641.5 ,50045.2
492, 120786,115078 ,55293.2 ,48177
493, 121278,102175 ,53324.5 ,49526
494, 121771,97105.3 ,51969 ,49041.8
495, 122265,99283.9 ,56473.5 ,52160.6
496, 122760,109088 ,52531.6 ,48424.9
497, 123256,112402 ,53938.7 ,49651.1
498, 123753,103171 ,55675.3 ,51301.5
499, 124251,108916 ,54400.2 ,50536
500, 124750,113673 ,56730.4 ,54265.4
