nodos,ejes,bellman,dijkstra_basico,dijkstra_prioridad 
478, 477,340.053 ,5041.88 ,580.796
479, 478,645.868 ,5298.41 ,885.087
480, 479,468.006 ,5127.13 ,625.979
481, 480,910.485 ,5368.59 ,965.504
482, 481,1167.28 ,5402.31 ,981.243
483, 482,834.653 ,5331.65 ,852.622
484, 483,1235.01 ,5463.55 ,991.118
485, 484,480.394 ,5354.72 ,707.955
486, 485,775.005 ,5416.62 ,803.159
487, 486,732.082 ,5405.36 ,719.363
488, 487,817.318 ,5590.03 ,980.274
489, 488,720.087 ,5627.65 ,961.147
490, 489,483.782 ,5507.05 ,703.817
491, 490,866.822 ,5615.06 ,916.558
492, 491,775.365 ,5613 ,830.798
493, 492,605.87 ,5594.77 ,731.358
494, 493,916.408 ,5757.67 ,950.351
495, 494,1499.54 ,5777.03 ,957.442
496, 495,863.671 ,5763.65 ,866.75
497, 496,1491.39 ,5909.91 ,1056.98
498, 497,871.815 ,5859.57 ,939.59
499, 498,1251.94 ,5972.27 ,1052.12
500, 499,1295.71 ,5948.07 ,924.657
501, 500,773.462 ,5864.81 ,783.8
502, 501,767.504 ,6082.12 ,963.777
503, 502,869.74 ,6186.09 ,922.255
504, 503,712.133 ,6166.9 ,828.489
505, 504,250.055 ,5968.75 ,599.675
506, 505,1894.02 ,6384.24 ,1082.25
507, 506,955.547 ,6428.99 ,1107.31
508, 507,1256.89 ,6483.4 ,1120.54
509, 508,939.643 ,6493.79 ,1072.66
510, 509,903 ,6448.73 ,962.957
511, 510,480.088 ,6373.62 ,748.981
512, 511,1203.29 ,6588.2 ,1054.94
513, 512,1513.15 ,6630.95 ,1107.85
514, 513,1149.91 ,6604.72 ,1016.11
515, 514,1358.92 ,6688.06 ,1093.21
516, 515,979.37 ,6758.74 ,1099.72
517, 516,422.446 ,6643.24 ,774.533
518, 517,1484.22 ,6742.49 ,1007.55
519, 518,1051.26 ,6774.87 ,1020.51
520, 519,745.438 ,6801.24 ,1000.16
521, 520,636.21 ,6700.25 ,850.186
522, 521,1531.88 ,6942.02 ,1095.46
523, 522,466.801 ,6760.77 ,749.571
524, 523,944.513 ,6882.03 ,913.98
525, 524,645.504 ,6887.78 ,876.873
526, 525,823.051 ,6930.75 ,883.682
